[ 2013-01-25T00:00:07+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000389s ]
[ 2013-01-25T00:00:07+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Tag[ view_end ] --START--
[ 2013-01-25T00:00:07+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000043s ]
[ 2013-01-25T00:00:07+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000075s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ route_check ] --START--
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Run CheckRoute Behavior [ RunTime:0.000178s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000400s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ app_begin ] --START--
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000148s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000228s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.001437s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | SQL: SELECT * FROM `hd_goods` WHERE ( `id` = '3' )  [ RunTime:0.000441s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.001095s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | SQL: SELECT * FROM `hd_goods_attr` WHERE ( `gid` = '3' ) GROUP BY aid  [ RunTime:0.000401s ]
