[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000235s ]
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_template ] --START--
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run LocationTemplate Behavior [ RunTime:0.000102s ]
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000188s ]
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_parse ] --START--
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run ParseTemplate Behavior [ RunTime:0.004970s ]
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005048s ]
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_filter ] --START--
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run ContentReplace Behavior [ RunTime:0.000104s ]
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run TokenBuild Behavior [ RunTime:0.000049s ]
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000026s ]
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run ShowRuntime Behavior [ RunTime:0.000059s ]
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000308s ]
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Tag[ view_end ] --START--
[ 2013-01-25T17:02:32+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id=10 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000034s ]
