[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000027s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run ShowRuntime Behavior [ RunTime:0.000059s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000303s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_end ] --START--
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Run ShowPageTrace Behavior [ RunTime:0.000034s ]
[ 2013-01-22T00:03:18+08:00 ] /thinkmao/Admin.php/Goods/edit_good_attr_show?id= | INFO: Tag[ view_end ] --END-- [ RunTime:0.000058s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000177s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000402s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000147s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000229s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000115s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000201s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.007108s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007196s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000145s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000060s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000029s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000075s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000385s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000041s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000070s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ route_check ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run CheckRoute Behavior [ RunTime:0.000115s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ route_check ] --END-- [ RunTime:0.000282s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000098s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000152s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_template ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run LocationTemplate Behavior [ RunTime:0.000068s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_template ] --END-- [ RunTime:0.000126s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_parse ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ParseTemplate Behavior [ RunTime:0.003953s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004046s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_filter ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ContentReplace Behavior [ RunTime:0.000129s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run TokenBuild Behavior [ RunTime:0.000061s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ShowRuntime Behavior [ RunTime:0.000069s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000371s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_end ] --START--
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Run ShowPageTrace Behavior [ RunTime:0.000039s ]
[ 2013-01-22T00:04:49+08:00 ] /thinkmao/Admin.php/Index/welcome | INFO: Tag[ view_end ] --END-- [ RunTime:0.000068s ]
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ route_check ] --START--
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run CheckRoute Behavior [ RunTime:0.000162s ]
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ route_check ] --END-- [ RunTime:0.000385s ]
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ app_begin ] --START--
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000154s ]
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000240s ]
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | SQL: SHOW COLUMNS FROM `hd_goods_type` [ RunTime:0.000422s ]
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | SQL: SELECT * FROM `hd_goods_type`  [ RunTime:0.000118s ]
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_template ] --START--
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Run LocationTemplate Behavior [ RunTime:0.000086s ]
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_template ] --END-- [ RunTime:0.000118s ]
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | INFO: Tag[ view_parse ] --START--
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | NOTIC: [8] Undefined index: cid 40f5aa715ed4e8da38f300230f372fb6.php 第 27 行.
[ 2013-01-22T00:04:50+08:00 ] /thinkmao/Admin.php/Goods/good_type | NOTIC: [8] Undefined index: cid 40f5aa715ed4e8da38f300230f372fb6.php 第 28 行.
