[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_template ] --START--
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run LocationTemplate Behavior [ RunTime:0.001146s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_template ] --END-- [ RunTime:0.001289s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_parse ] --START--
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run ParseTemplate Behavior [ RunTime:0.027772s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027926s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_filter ] --START--
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run ContentReplace Behavior [ RunTime:0.001157s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run TokenBuild Behavior [ RunTime:0.001178s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000884s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run ShowRuntime Behavior [ RunTime:0.001055s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004643s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_end ] --START--
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Run ShowPageTrace Behavior [ RunTime:0.001030s ]
[ 2013-02-19T00:01:10+08:00 ] /thinkmao/admin.php/Index/welcome | INFO: Tag[ view_end ] --END-- [ RunTime:0.001148s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ route_check ] --START--
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run CheckRoute Behavior [ RunTime:0.003167s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003376s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ app_begin ] --START--
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001532s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001726s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.014791s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | SQL: SELECT * FROM `hd_goods`  [ RunTime:0.000960s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_template ] --START--
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run LocationTemplate Behavior [ RunTime:0.021175s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.021324s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_parse ] --START--
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ParseTemplate Behavior [ RunTime:0.113532s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.113677s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Tag[ view_filter ] --START--
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run ContentReplace Behavior [ RunTime:0.001576s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run TokenBuild Behavior [ RunTime:0.000916s ]
[ 2013-02-19T00:01:14+08:00 ] /thinkmao/admin.php/ListGoods/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000708s ]
