[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 323 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 324 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 325 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 326 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 327 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 328 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 329 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 330 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 331 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 332 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 333 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 334 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 335 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 336 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 337 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 338 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 339 common.php 第 146 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 340 common.php 第 155 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 341 common.php 第 155 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 342 common.php 第 155 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 343 common.php 第 155 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 344 common.php 第 155 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 345 common.php 第 155 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 346 common.php 第 155 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 340 common.php 第 230 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 341 common.php 第 230 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 342 common.php 第 230 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 343 common.php 第 230 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 344 common.php 第 230 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 345 common.php 第 230 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined offset: 346 common.php 第 230 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | SQL: SELECT * FROM `hd_goods_attr` WHERE id in ( 342, 344)  [ RunTime:0.000288s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --START--
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000116s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000147s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ParseTemplate Behavior [ RunTime:0.012723s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012797s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ContentReplace Behavior [ RunTime:0.000107s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run TokenBuild Behavior [ RunTime:0.000051s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000025s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000089s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000344s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --START--
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000034s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000058s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --START--
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000027s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_template ] --END-- [ RunTime:-0.013340s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --START--
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 31 行.
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ParseTemplate Behavior [ RunTime:0.019398s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.000590s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_filter ] --START--
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ContentReplace Behavior [ RunTime:0.000077s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run TokenBuild Behavior [ RunTime:0.000030s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000007s ]
[ 2013-01-31T00:23:36+08:00 ] /thinkmao/Index.php/Order/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000063s ]
